rank,segment_id,country,road_class,SpeedLimit,F85thPercentileSpeed,expected_speed,speed_residual
10350,50134,Thailand,secondary,90.0,71.0,77.7442393873827,-6.744239387382706
10351,48854,Thailand,secondary,90.0,59.25,65.99605683151776,-6.7460568315177625
10352,37609,Thailand,secondary,80.0,70.0,76.75274682902145,-6.752746829021447
10353,TR/12227,India,trunk,55.0,70.0,76.75813427374666,-6.758134273746663
10354,34460,Thailand,trunk,80.0,77.0,83.76791874982747,-6.767918749827473
10355,PR/2231,India,primary,45.0,35.333333333333336,42.10285387760008,-6.769520544266747
10356,TR/11764,India,trunk,80.0,73.0,79.78142035342144,-6.781420353421439
10357,20282,Thailand,primary,90.0,89.75,96.53202697062032,-6.782026970620322
10358,16321,Thailand,trunk,90.0,81.0,87.78519427070002,-6.785194270700018
10359,35242,Thailand,secondary,80.0,58.5,65.28524728603952,-6.785247286039521
10360,34879,Thailand,trunk,90.0,83.0,89.78525697457482,-6.785256974574821
10361,30340,Thailand,primary,90.0,89.5,96.28814772827256,-6.788147728272563
10362,34211,Thailand,primary,80.0,70.0,76.7882593775669,-6.788259377566902
10363,44661,Thailand,secondary,85.0,71.5,78.2928246777324,-6.792824677732398
10364,53617,Thailand,secondary,90.0,65.5,72.29520461300653,-6.795204613006533
10365,TR/11296,India,trunk,40.0,56.333333333333336,63.13085621949235,-6.797522886159015
10366,PR/859,India,primary,55.0,52.666666666666664,59.46469793500869,-6.798031268342022
10367,25742,Thailand,primary,40.0,73.0,79.79999750320232,-6.79999750320232
10368,SE/5383,India,secondary,55.0,41.0,47.803354835479986,-6.803354835479986
10369,TR/13079,India,trunk,55.0,68.0,74.80770979560731,-6.807709795607309
10370,TR/13267,India,trunk,55.0,67.0,73.82089459587144,-6.820894595871437
10371,42789,Thailand,secondary,90.0,60.0,66.82297832445585,-6.822978324455846
10372,SE/7529,India,secondary,55.0,44.625,51.4500952784288,-6.8250952784287975
10373,51449,Thailand,secondary,80.0,62.0,68.83455993458907,-6.834559934589066
10374,23616,Thailand,primary,90.0,75.0,81.8360828705039,-6.836082870503901
10375,PR/1243,India,primary,55.0,56.0,62.845834424236465,-6.845834424236465
10376,54424,Thailand,secondary,80.0,66.0,72.85043706879549,-6.850437068795486
10377,55305,Thailand,secondary,90.0,64.5,71.35122478791382,-6.8512247879138215
10378,TR/12947,India,trunk,45.0,49.0,55.85768198778727,-6.857681987787267
10379,SE/6328,India,secondary,55.0,45.0,51.858383002990934,-6.858383002990934
10380,37190,Thailand,secondary,86.0,66.83333333,73.69220550722362,-6.858872177223617
10381,SE/8103,India,secondary,55.0,46.5,53.360030582879126,-6.860030582879126
10382,51905,Thailand,secondary,55.0,70.0,76.86004336762524,-6.860043367625238
10383,PR/1079,India,primary,55.0,46.0,52.860515341378814,-6.8605153413788145
10384,27489,Thailand,primary,90.0,84.0,90.86229544044897,-6.862295440448975
10385,55221,Thailand,secondary,60.0,66.5,73.36314364017994,-6.863143640179942
10386,35273,Thailand,primary,80.0,69.0,75.86416547768627,-6.864165477686271
10387,PR/1039,India,primary,50.0,41.4,48.267354977802476,-6.867354977802478
10388,35445,Thailand,secondary,80.0,58.33333333,65.20127198711216,-6.867938657112163
10389,TR/12359,India,trunk,60.0,48.85,55.72055073605683,-6.870550736056828
10390,51920,Thailand,secondary,90.0,77.5,84.37161892098524,-6.871618920985242
10391,52671,Thailand,secondary,85.0,70.75,77.6248563273703,-6.874856327370296
10392,41650,Thailand,secondary,80.0,54.0,60.877772423222275,-6.877772423222275
10393,45353,Thailand,secondary,90.0,54.0,60.877772423222275,-6.877772423222275
10394,TR/13086,India,trunk,40.0,75.625,82.50427835103912,-6.879278351039119
10395,55771,Thailand,secondary,80.0,60.0,66.87980590108658,-6.879805901086584
10396,16063,Thailand,trunk,60.0,82.0,88.88269948685652,-6.882699486856524
10397,52978,Thailand,secondary,85.0,76.5,83.39068481484205,-6.8906848148420465
10398,TR/13129,India,trunk,55.0,69.625,76.52000147983243,-6.89500147983243
10399,23688,Thailand,primary,80.0,72.0,78.89718935807026,-6.897189358070264
10400,23331,Thailand,primary,90.0,89.0,95.90384323668573,-6.903843236685731
10401,33106,Thailand,motorway,60.0,73.0,79.90518152121408,-6.905181521214075
10402,17363,Thailand,primary,80.0,70.0,76.90757530101192,-6.907575301011917
10403,PR/3005,India,primary,30.0,32.0,38.91047297786689,-6.910472977866888
10404,SE/9905,India,secondary,55.0,43.916666666666664,50.83121711656964,-6.9145504499029755
10405,35149,Thailand,trunk,90.0,93.0,99.92783159890979,-6.9278315989097905
10406,TR/13350,India,trunk,55.0,52.5,59.43046048225473,-6.93046048225473
10407,41849,Thailand,secondary,80.0,59.0,65.93323509249235,-6.933235092492353
10408,15404,Thailand,secondary,80.0,54.5,61.439584175225285,-6.939584175225285
10409,47420,Thailand,secondary,80.0,63.0,69.94016750627185,-6.940167506271848
10410,51527,Thailand,secondary,90.0,65.0,71.94051762063113,-6.940517620631127
10411,48782,Thailand,secondary,80.0,64.0,70.94257299397005,-6.942572993970046
10412,PR/3917,India,primary,55.0,38.0,44.94294311741571,-6.942943117415709
10413,PR/1764,India,primary,55.0,45.333333333333336,52.27647117973191,-6.943137846398571
10414,34041,Thailand,secondary,90.0,65.5,72.45128145445618,-6.951281454456179
10415,16120,Thailand,trunk,80.0,89.0,95.95130326658753,-6.95130326658753
10416,27699,Thailand,primary,80.0,78.5,85.45207521243803,-6.952075212438032
